club,date,country,League,Tier
APR FC,2019-07-17,Senegal,Senegal Premier League,Tier 2
Paniliakos,2001-02-08,Greece,Greek Super League,Tier 2
AE Larisa,2015-04-14,Greece,Super League Greece,Tier 2
Kilkisiakos,2002-12-19,Greece,Super League Greece,Tier 2
Aris Thessaloniki,2021-06-30,Greece,Super League Greece,Tier 2
Tritaiikos,2011-06-30,Greece,Greek Super League,Tier 2
Ethnikos,2020-12-08,Greece,Super League Greece,Tier 2
AO Kerkyra,2013-04-29,Greece,Super League Greece,Tier 2
Panserraikos,2008-12-09,Greece,Gamma Ethniki,Tier 3
Aittitos Spaton,2022-06-30,Greece,Super League Greece,Tier 1
Proodeftiki,2017-07-19,Greece,Super League Greece,Tier 1
Panachaiki,1985-02-04,Greece,Greek Second Division,Tier 3
PAS Lamia,2006-06-30,Greece,Super League Greece,Tier 2
Slavija S.,2016-03-22,Slovenia,Prva Liga,Tier 4
Panachaiki,2005-10-21,Greece,Superleague Greece,Tier 3
AO Kavala,20/03/2023,Greece,Super League Greece,Tier 2
AO Kavala,2022-04-06,Greece,Super League Greece,Tier 2
PAE Veria,2016-01-26,Greece,Superleague Greece,Tier 1
AO Kavala,2021-09-02,Greece,Super League Greece,Tier 2
Nestos,2016-06-30,Greece,Super League Greece,Tier 2
AO Kavala,2018-07-13,Greece,Super League Greece,Tier 2
AO Kavala,2013-12-03,Greece,Super League Greece,Tier 2
Doxa Dramas,2021-06-30,Greece,Gamma Ethniki,Tier 4
GAS Ialysos,2017-12-04,Greece,Super League Greece,Tier 2
PAE Veria,2008-03-13,Greece,Super League Greece,Tier 2
AO Kavala,1979-06-30,Greece,Alpha Ethniki,Tier 1
Fostiras,1974-01-28,Cyprus,Cypriot First Division,Tier 2
AO Trikala,1967-06-30,Greece,Beta Ethniki,Tier 2
AE Larisa,2013-04-11,Greece,Superleague Greece,Tier 1
Anag. Karditsas,2008-12-18,Greece,Gamma Ethniki,Tier 3
Proodeftiki,2012-12-12,Greece,Superleague Greece,Tier 1
Vyzas Megaron,2023-06-30,Greece,Super League Greece,Tier 1
Ag. Anargyroi,2013-12-24,Greece,Super League Greece,Tier 2
Proodeftiki,2017-06-30,Greece,Superleague Greece,Tier 2
Pro Patria,2015-10-04,Italy,Serie C,Tier 3
Ast. Magoulas,2012-02-28,Greece,Super League Greece,Tier 3
PAE Veria,2005-11-23,Greece,Super League Greece,Tier 1
Ethnikos Pirous,2001-04-12,Greece,Super League Greece,Tier 3
Apollon Athens,1986-12-22,Greece,Beta Ethniki,Tier 2
Fostiras,2009-03-20,Cyprus,Cypriot First Division,Tier 2
CSKA Sofia,1985-06-30,Bulgaria,Bulgarian First League,Tier 1
Fostiras,1972-06-30,Cyprus,Cypriot First Division,Tier 3
Agrotikos,2023-02-04,Greece,Super League Greece,Tier 1
AO Trikala,20/20-02-10,Greece,Super League Greece,Tier 2
APO Levadiakos,2017-01-11,Greece,Super League Greece,Tier 2
FK Srem,2008-12-31,Serbia,SuperLiga,Tier 2
FK Obilic,2002-06-30,Serbia,Prva Liga,Tier 1
Shkendija,2008-06-30,Macedonia,Macedonian First League,Tier 3
Pierikos,2017-06-30,Greece,Super League Greece,Tier 1
Tyrnavos 2005,2012-01-30,Greece,Gamma Ethniki,Tier 4
AO Trikala,1998-06-30,Greece,Beta Ethniki,Tier 2
FS Kozani,2001-01-22,Greece,Gamma Ethniki,Tier 3
GS Marko,2023-01-09,Germany,Bundesliga,Tier 1
Asteras Tripoli,2018-06-30,Greece,Super League Greece,Tier 2
Eolikos,2007-03-05,Greece,Super League Greece,Tier 2
Acharnaikos,1995-06-30,Greece,Beta Ethniki,Tier 2
Unknown,2020-03-08,Brazil,Série A,Tier 1
Akratitos,2019-11-27,Greece,Super League Greece,Tier 2
Doxa Dramas,2012-10-16,Greece,Gamma Ethniki,Tier 4
AO Egaleo,2024-06-30,Greece,Super League Greece,Tier 2
AE Sparti,2017-06-30,Greece,Super League Greece,Tier 2
AO Egaleo,2019-06-30,Greece,Super League Greece,Tier 2
AO Glyfadas,2013-12-15,Greece,Super League Greece,Tier 2
AS Fokikos,2012-10-22,Cyprus,Cypriot First Division,Tier 4
AOT Alimou,2015-03-26,Mali,Premier Division of Mali,Tier 3
Atromitos,2015-02-09,Greece,Super League Greece,Tier 2
AGS Kastoria,2005-06-30,Greece,Greek Third Division,Tier 3
Ergotelis,2022-05-20,Greece,Super League Greece,Tier 1
L. Glykovrysis,2006-06-30,Greece,Greek Super League,Tier 1
AOK Kerkyra,2019-12-16,Greece,Super League Greece,Tier 2
AE Ermionidas,2015-01-19,Greece,Greek Third Division,Tier 3
AO Kassiopi,2013-06-30,Greece,Greek Second Division,Tier 2
AOK Kerkyra,2019-06-30,Greece,Super League Greece,Tier 2
Aris Archang.,2015-06-30,Greece,Super League Greece,Tier 2
Tilykratis,2018-06-30,Cyprus,Cypriot First Division,Tier 2
Edessaikos,1999-12-30,Greece,Delta Ethniki,Tier 3
AE Larisa,2017-09-25,Greece,Super League Greece,Tier 2
RSC Charleroi,2010-09-20,Belgium,Pro League,Tier 1
WKE Emmen,2009-06-30,Netherlands,Eerste Divisie,Tier 2
Ik. Tsaritsanis,2015-06-30,Greece,Super League Greece,Tier 2
AE Larisa U20,2010-06-01,Greece,Greek Super League,Tier 2
AE Larisa,2002-09-08,Greece,Super League Greece,Tier 1
AS Pyrgos,2009-11-17,Greece,Greek Football League,Tier 2
Ethn. Piraeus,2002-12-12,Greece,Super League Greece,Tier 1
Wisla Kraków,2015-06-30,Poland,Ekstraklasa,Tier 1
Górnik Zabrze,2008-09-16,Poland,Ekstraklasa,Tier 1
Polonia Bytom,1975-12-22,Poland,Ekstraklasa,Tier 1
PAS Lamia,2020-10-07,Greece,Super League Greece,Tier 1
APO Levadiakos,1995-03-06,Greece,Super League Greece,Tier 1
Panetolikos,2015-09-28,Greece,Super League Greece,Tier 1
AE Pafos,2012-11-22,Cyprus,Cypriot First Division,Tier 4
Maia,2000-06-30,Portugal,Primeira Liga,Tier 1
Veria NPS,20/6/2023,Greece,Super League Greece,Tier 2
SK Tavriya,2013-06-15,Ukraine,Ukrainian Premier League,Tier 1
PAE Veria,2012-11-18,Greece,Super League Greece,Tier 1
AS Irinoupolis,2016-06-30,France,Ligue 1,Tier 2
M. Tel Aviv,2006-05-30,Israel,T Liga,Tier 1
Kampaniakos,2015-06-30,Greece,Super League Greece,Tier 2
Thermaikos,2006-03-07,Greece,Super League Greece,Tier 2
Extensiv Craiova,2002-06-30,Romania,Liga I,Tier 1
Romania U21,1995-01-01,Romania,UEFA European Under-21 Championship,Tier 3
Asteras Tripoli,2007-01-05,Greece,Super League Greece,Tier 1
Apollon U19,2018-06-30,Greece,U19 Super League Greece,Tier 2
Panserraikos,2016-06-30,Greece,Super League Greece,Tier 2
Panserraikos,2016-01-31,Greece,Gamma Ethniki,Tier 3
Panserraik. U19,2015-11-24,Greece,Greek National Youth League,Tier 2
Honvéd FC,2002-06-30,Hungary,Nemzeti Bajnokság I,Tier 1
Panathinaikos,2006-06-30,Greece,Super League Greece,Tier 1
Panserraikos,1971-04-13,Greece,Alpha Ethniki,Tier 2
D. Proskyniton,2018-06-30,Greece,Superleague Greece,Tier 2
Volos NPS U19,2021-11-22,Greece,Super League Greece,Tier 2
Dep. Cuenca,2022-12-31,Ecuador,Liga de Fútbol Profesional,Tier 4
Club Blooming,2021-01-04,Bolivia,Liga Profesional Boliviana,Tier 2
Asi Gonia,2022-06-30,Spain,La Liga,Tier 1
Panetolikos,2004-10-18,Greece,Super League Greece,Tier 2
Nestos,2020-09-04,Greece,Super League Greece,Tier 2
Hatta Club,2017-10-07,United Arab Emirates,UAE Pro League,Tier 4
Doxa Dramas,2005-03-24,Greece,Gamma Ethniki,Tier 3
FK Srem,2014-06-30,Serbia,SuperLiga,Tier 1
Platanias U20,2017-06-20,Greece,Super League Greece,Tier 2
AO Chalkis,2019-01-15,Greece,Super League Greece,Tier 2
Acharnaikos,2017-03-16,Greece,Super League Greece,Tier 2
Zambia,2019-02-25,Zambia,CAF Champions League,Tier 3
RNK Split,2020-11-14,Croatia,Croatian Football League,Tier 3
HNK Krka Lozovac,2008-06-15,Croatia,HNL (Prva HNL),Tier 1
Niki Volou,2003-04-28,Greece,Super League Greece,Tier 1
AE Karaiskakis,2020-06-24,Greece,Super League Greece,Tier 1
PAS Lamia,2015-12-13,Greece,Super League Greece,Tier 2
Panegialios,2003-06-30,Greece,Gamma Ethniki,Tier 2
AO Episkopi,2022-05-01,Cyprus,Cypriot Second Division,Tier 3
Panelefsiniakos,2017-02-07,Greece,Super League Greece,Tier 2
FAS Naousa,2014-06-30,Greece,Gamma Ethniki,Tier 3
Cova Piedade,2018-09-05,Portugal,Primeira Liga,Tier 1
Kilkisiakos,2001-06-30,Greece,Super League Greece,Tier 2
GAS Ialysos,2000-06-30,Greece,Greek Second Division,Tier 3
Pierikos,1993-06-30,Greece,Super League Greece,Tier 1
Pierikos,1978-01-02,Greece,Alpha Ethniki,Tier 1
AS Irinoupolis,2015-06-14,France,Ligue 1,Tier 2
Edessaikos,2022-11-30,Greece,Super League Greece,Tier 1
AS Giannitsa,2018-10-24,Greece,Greek Third Division,Tier 4
PAS Korinthos,1997-06-30,Greece,Super League Greece,Tier 1
Omonia Nikosia,2000-11-13,Cyprus,Cypriot First Division,Tier 1
Eolikos,2018-09-13,Greece,Super League Greece,Tier 2
Iraklis Larisas,20/6/2024,Greece,Super League Greece,Tier 1
Kilkisiakos,2013-12-02,Greece,Super League Greece,Tier 1
Agrotikos,2018-12-29,Greece,Super League Greece,Tier 2
Pavlos Melas,2017-02-03,Greece,Greek Super League,Tier 3
Agrotikos,2011-04-12,Greece,Super League Greece,Tier 2
Diagoras,2012-06-30,Greece,Super League Greece,Tier 1
Panargiakos,2017-01-19,Greece,Super League Greece,Tier 2
Dig. Lakkomatos,2014-06-30,Greece,Super League Greece,Tier 2
Dig. Lakkomatos,2011-06-30,Greece,Super League Greece,Tier 2
Ellispontos,2019-04-11,Greece,Super League Greece,Tier 2
AO Thiva,2017-05-01,Greece,Greek Super League,Tier 1
Makrochori,2015-01-20,Greece, Gamma Ethniki,Tier 3
An. Giannitson,2005-11-16,Greece,Super League Greece,Tier 1
AO Episkopi,2022-10-16,Cyprus,Cypriot First Division,Tier 3
Barnet,2017-12-31,England,National League,Tier 4
PASA Irodotos,2019-06-30,Greece,Super League Greece,Tier 3
APS Zakynthos,2022-06-30,Greece,Greek Football League,Tier 3
Ira. Elefsinas,2019-06-30,Greece,Gamma Ethniki,Tier 4
Paniliakos,2014-01-07,Greece,Super League Greece,Tier 2
Iraklis Ptolemaidas,2020-06-30,Greece,Super League Greece,Tier 1
Karvina,2018-11-17,Czech Republic,FNL,Tier 2
FC Wil 1900,2015-09-14,Switzerland,Challenge League,Tier 2
Paniliakos,2014-04-19,Greece,Super League Greece,Tier 2
Spartak Moscow,2003-09-11,Russia,Russian Premier League,Tier 2
Nea Salamis,2013-06-30,Cyprus,Cypriot First Division,Tier 2
Eginiakos,2018-06-30,Greece,Super League Greece,Tier 2
ADO Den Haag,2014-02-05,Netherlands,Eredivisie,Tier 1
Excelsior,2003-06-30,Netherlands,Eredivisie,Tier 1
Vitesse,2008-12-30,Netherlands,Eredivisie,Tier 2
Ajax,2000-06-30,Netherlands,Eredivisie,Tier 1
PSV Eindhoven,1994-06-30,Netherlands,Eredivisie,Tier 1
Kasimpasa,2015-04-14,Turkey,Turkish Super League,Tier 1
Rangers,2006-06-30,Scotland,Scottish Premier League,Tier 1
Ajax,1974-06-30,Netherlands,Eredivisie,Tier 1
RCH,1970-04-24,Scotland,Scottish Football League,Tier 1
FC Den Haag,1980-10-05,Netherlands,Eerste Divisie,Tier 2
Elinkwijk,1973-06-30,Netherlands,Eerste Divisie,Tier 2
Beerschot VAV,1979-06-30,Belgium,Eerste Klasse,Tier 2
Heracles,1964-06-30,Netherlands,Eredivisie,Tier 1
Ajax,1940-06-24,Netherlands,Eredivisie,Tier 1
Ajax,1930-06-19,Netherlands,Eredivisie,Tier 1
AZ Alkmaar,2020-12-05,Netherlands,Eredivisie,Tier 1
PEC Youth,2014-06-30,Netherlands,Eredivisie,Tier 1
Lech Poznan,20/6/24,Poland,Ekstraklasa,Tier 1
ADO Den Haag,2011-06-29,Netherlands,Eredivisie,Tier 2
AZ Alkmaar,2014-10-16,Netherlands,Eredivisie,Tier 2
SCR Altach,2021-02-23,Austria,Bundesliga,Tier 2
Ajax U19,1992-06-30,Netherlands,Eredivisie Juniores,Tier 3
Feyenoord,1995-10-02,Netherlands,Eredivisie,Tier 2
VVV-Venlo,2021-03-16,Netherlands,Eredivisie,Tier 2
FC Utrecht,1991-06-30,Netherlands,Eredivisie,Tier 2
FC Wageningen,1989-06-30,Netherlands,Eredivisie,Tier 1
Haarlem,1995-06-30,Netherlands,Eerste Divisie,Tier 2
AZ '67,1980-06-30,Netherlands,Eredivisie,Tier 1
Haarlem,1975-06-30,Netherlands,Eerste Divisie,Tier 2
DFC,1971-06-30,Australia,National Soccer League,Tier 2
DFC,1966-06-30,Slovakia,Corgoň liga,Tier 2
FC Zaanstreek,1966-06-30,Netherlands,Eerste Divisie,Tier 2
EDO,1965-06-30,Japan,J.League Division 1,Tier 3
Utrecht U21,2020-11-07,Netherlands,Eredivisie,Tier 1
RB Ghana,2012-11-10,Ghana,Ghana Premier League,Tier 3
Cambuur U19,2010-06-30,Netherlands,Eredivisie Juniores,Tier 1
PEC Zwolle,2021-11-16,Netherlands,Eredivisie,Tier 2
Heerenveen,2004-06-30,Netherlands,Eredivisie,Tier 1
FC Groningen,2014-06-30,Netherlands,Eredivisie,Tier 1
Cambuur L.,2005-06-30,Netherlands,Eerste Divisie,Tier 3
VV Nunspeet,2014-06-30,Netherlands,Eerste Divisie,Tier 2
DOVO,2012-06-30,Netherlands,Eredivisie,Tier 1
DOVO,2007-06-30,Germany,Regionalliga West,Tier 4
De Graafschap,2005-10-10,Netherlands,Eerste Divisie,Tier 3
Wageningen,1977-06-30,Netherlands,Eredivisie,Tier 1
MTK Hungária,2002-06-30,Hungary,Nemzeti Bajnokság I,Tier 1
SVV,1981-06-30,Netherlands,Eredivisie,Tier 2
FC Breukelen,2008-06-30,Netherlands,Eredivisie,Tier 1
EDO,1970-04-15,Nigeria,Nigerian Premier League,Tier 1
FC Groningen,1983-06-30,Netherlands,Eredivisie,Tier 1
FC Utrecht,1996-01-17,Netherlands,Eredivisie,Tier 1
Friesland,1968-06-30,Netherlands,Eerste Divisie,Tier 2
DCL,1952-06-30,Italy,Serie A,Tier 1
VVV-Venlo,2011-12-24,Netherlands,Eredivisie,Tier 2
Al-Faisaly FC,2013-12-09,Saudi Arabia,Professional League,Tier 1
Unknown,1994-06-30,Italy,Serie A,Tier 1
Aruba,2019-12-31,Netherlands,Eerste Divisie,Tier 3
Singida United,2018-06-02,Tanzania,Tanzanian Premier League,Tier 3
Telstar,1964-06-30,Netherlands,Eredivisie,Tier 1
Eindhoven,1979-06-30,Netherlands,Eredivisie,Tier 1
SVV,1970-06-30,Germany,Regionalliga West,Tier 2
TOP Oss,1994-06-30,Netherlands,Eerste Divisie,Tier 2
Australia,2010-07-30,Australia,A-League,Tier 1
"""South Korea""",2007-07-29,South Korea,AFC Asian Cup,Tier 2
NEC,1973-06-30,Netherlands,Eredivisie,Tier 1
NAC,1973-05-01,Spain,La Liga,Tier 1
VVV,1960-06-30,Netherlands,Eerste Divisie,Tier 2
Blauw-Wit,1964-06-30,Netherlands,Eredivisie,Tier 1
AC Bellinzona,1976-09-20,Switzerland,Swiss Football League,Tier 3
RSC Charleroi,1970-06-30,Belgium,First Division,Tier 1
FC Basel,1965-06-30,Switzerland,Swiss Super League,Tier 1
NEC,1940-06-30,Netherlands,Eredivisie,Tier 1
KV Mechelen,2022-10-17,Belgium,Pro League,Tier 1
Fortuna Sittard,2022-09-11,Netherlands,Eredivisie,Tier 1
RKSV Bekkerveld,2012-07-01,Netherlands,Topklasse,Tier 4
Fortuna Sittard,2019-06-30,Netherlands,Eredivisie,Tier 1
Sittard,2017-06-30,Netherlands,Eredivisie,Tier 1
Fortuna Sittard,2015-10-04,Netherlands,Eredivisie,Tier 1
Fortuna Sittard,2007-06-30,Netherlands,Eredivisie,Tier 1
Telstar,1977-06-30,Netherlands,Eredivisie,Tier 1
De Graafschap,1967-06-30,Netherlands,Eredivisie,Tier 1
FSC,1970-06-30,Netherlands,Eredivisie,Tier 1
De Graafschap,2012-06-30,Netherlands,Eerste Divisie,Tier 3
Willem II,2023-01-04,Netherlands,Eredivisie,Tier 1
AZ Alkmaar,2011-06-30,Netherlands,Eredivisie,Tier 2
VV Duno,2020-06-30,Netherlands,Eredivisie,Tier 2
De Meern,2020-01-29,Netherlands,Eerste Divisie,Tier 2
Ross County,2011-05-15,Scotland,Scottish Premiership,Tier 2
Indonesia,2015-12-10,Not applicable,Not applicable,Not applicable
AGOVV,2013-01-11,Germany,Regionalliga West,Tier 4
Heracles,1998-06-30,Netherlands,Eredivisie,Tier 1
TOP Oss,2000-03-31,Netherlands,Eerste Divisie,Tier 3
Heerenveen,1985-06-30,Netherlands,Eredivisie,Tier 1
HBS,1997-06-30,Belgium,Belgian First Division,Tier 1
BSC Young Boys,1951-06-30,Switzerland,Nationalliga A,Tier 1
Go Ahead Eagles,2022-06-30,Netherlands,Eredivisie,Tier 1
Almere City,2019-06-30,Netherlands,Eerste Divisie,Tier 3
FC Zwolle,2009-03-02,Netherlands,Eredivisie,Tier 1
NEC,1974-01-02,Netherlands,Eredivisie,Tier 1
HVC,1964-07-01,Netherlands,Eredivisie,Tier 2
Ajax,1970-06-30,Netherlands,Eredivisie,Tier 1
Helmond Sport,1975-06-30,Netherlands,Eerste Divisie,Tier 2
Veendam,1966-06-30,Netherlands,Eerste Divisie,Tier 2
FC Eindhoven,2018-06-30,Netherlands,Eerste Divisie,Tier 2
Roda JC,2015-04-07,Netherlands,Eredivisie,Tier 1
VVV-Venlo,2014-06-30,Netherlands,Eredivisie,Tier 1
Go Ahead Eagles,2017-06-30,Netherlands,Eerste Divisie,Tier 2
Dutch Lions,2012-05-31,Netherlands,Eredivisie,Tier 1
Theole,2019-04-05,Netherlands,Eredivisie,Tier 1
Achilles '29,2013-06-30,Netherlands,Eerste Divisie,Tier 2
Vitesse,2005-06-30,Netherlands,Eredivisie,Tier 1
Netherlands U21,2004-06-30,Netherlands,Eredivisie U21,Tier 2
PSV Eindhoven,2010-05-31,Netherlands,Eredivisie,Tier 1
PSV Eindhoven,1986-06-30,Netherlands,Eredivisie,Tier 1
Go Ahead,1973-06-30,Netherlands,Eredivisie,Tier 1
Alkmaar '54,1966-10-26,Netherlands,Eredivisie,Tier 1
Vitesse,1985-06-30,Netherlands,Eredivisie,Tier 1
Zandvoortmeeuwen,1969-06-30,Netherlands,Eerste Divisie,Tier 2
Seiko,1983-09-30,Japan,J.League (2nd division),Tier 2
MVV,1976-06-30,Netherlands,Eredivisie,Tier 1
Fortuna '54,1963-04-15,Belgium,First Division,Tier 1
Helmond Sport,20/6/26,Netherlands,Eerste Divisie,Tier 2
NEC Nijmegen,2009-11-16,Netherlands,Eredivisie,Tier 1
Sundowns,2012-12-02,South Africa,Premier Soccer League,Tier 3
NEC Nijmegen,2004-12-13,Netherlands,Eredivisie,Tier 1
De Graafschap,2011-09-20,Netherlands,Eerste Divisie,Tier 2
FC Cape Town,2015-06-30,South Africa,National First Division,Tier 2
Venray,2006-06-30,Netherlands,Eerste Divisie,Tier 2
Netherlands,2021-07-12,Netherlands,Eredivisie,Tier 2
Beringen FC,1981-06-30,Belgium,Second Division A,Tier 2
Volendam,1962-06-30,Netherlands,Eerste Divisie,Tier 3
FC Utrecht,2022-12-14,Netherlands,Eredivisie,Tier 1
FC Emmen,2013-06-30,Netherlands,Eerste Divisie,Tier 2
RKC Waalwijk,2015-02-22,Netherlands,Eredivisie,Tier 1
CSV Apeldoorn,2017-06-30,Netherlands,Eerste Divisie,Tier 2
SV Geinoord,1994-06-30,Netherlands,Eerste Divisie,Tier 2
RKC Waalwijk,1993-06-30,Netherlands,Eerste Divisie,Tier 2
Argeo,2022-06-30,Argentina,Primera División,Tier 1
Roda JC,2019-03-19,Netherlands,Eredivisie,Tier 1
KVC Westerlo,2015-11-25,Belgium,Second Division,Tier 2
B TLV Bat Yam,2020-06-30,Israel,Israeli Premier League,Tier 1
Roda JC,2001-09-19,Netherlands,Eredivisie,Tier 1
Roda JC,1994-06-30,Netherlands,Eredivisie,Tier 1
Sparta R.,2025-06-30,Czech Republic,Fortuna Liga,Tier 1
NAC Breda,2011-06-30,Netherlands,Eerste Divisie,Tier 2
APOEL Nicosia,2014-09-30,Cyprus,Cypriot First Division,Tier 2
Sparta Rotterdam,1998-12-07,Netherlands,Eredivisie,Tier 1
IJsselm.vogels,1992-06-30,Netherlands,Eerste Divisie,Tier 3
Haarlem,1971-01-06,Netherlands,Eredivisie,Tier 1
Heerenveen,2021-06-30,Netherlands,Eredivisie,Tier 2
Twente FC,1995-11-20,Netherlands,Eredivisie,Tier 2
FC Utrecht,2021-06-01,Netherlands,Eredivisie,Tier 2
NAC Breda,1999-03-22,Netherlands,Eredivisie,Tier 1
FC Utrecht,1994-06-30,Netherlands,Eredivisie,Tier 2
Vitesse,2006-06-30,Netherlands,Eredivisie,Tier 1
Sparta Nijkerk,2008-06-30,Netherlands,Eerste Divisie,Tier 2
Vitesse,1975-09-21,Netherlands,Eredivisie,Tier 1
Quick DH,1974-06-30,Netherlands,Eredivisie,Tier 1
Ajax U18,2014-06-30,Netherlands,Eredivisie Juniores,Tier 2
Ajax U18,2011-01-02,Netherlands,Eredivisie (U18),Tier 2
Willem II,2010-04-23,Netherlands,Eredivisie,Tier 1
OH Leuven,2017-09-22,Belgium,Eerste klasse,Tier 2
KFCO Beerschot,2016-06-30,Belgium,Jupiler Pro League,Tier 1
RSC Charleroi,2012-06-12,Belgium,Pro League,Tier 1
West Brom,2008-10-28,England,Premier League,Tier 1
Willem II,2007-11-05,Netherlands,Eredivisie,Tier 1
Willem II,1983-06-30,Netherlands,Eredivisie,Tier 1
Indonesia,2011-12-31,None,None,N/A
Helmond Sport,1987-11-30,Netherlands,Eerste Divisie,Tier 3
NAC,1983-06-30,Netherlands,Eredivisie,Tier 1
Go Ahead Eagles,1983-03-03,Netherlands,Eerste Divisie,Tier 2
Xerxes,1966-06-30,Iran,Tehran Football League,Tier 3
Veendam,1959-06-30,Netherlands,Eerste Divisie,Tier 2
Hermes-DVS,1937-06-30,Germany,Oberliga Westphalen,Tier 3
Flakkee,1965-06-30,Germany,Bundesliga,Tier 1
Netherlands U21,2018-05-31,Netherlands,Eredivisie Derde Divisie (U21),Tier 2
PEC Youth,2009-12-31,Netherlands,Eredivisie,Tier 1
Netherlands U20,2021-02-28,Netherlands,Eredivisie,Tier 2
PEC Zwolle,2021-02-27,Netherlands,Eredivisie,Tier 1
Go Ahead Eagles,2019-06-30,Netherlands,Eerste Divisie,Tier 2
FC Zwolle,2007-07-31,Netherlands,Eredivisie,Tier 1
Rohda Raalte,1978-06-30,Netherlands,Eerste Divisie,Tier 2
Go Ahead Kampen,1975-01-23,Netherlands,Eredivisie,Tier 1
ADO Den Haag,2004-06-30,Netherlands,Eredivisie,Tier 1
Quick Boys,1985-06-30,Netherlands,Eerste Divisie,Tier 2
AS Trencin,2019-03-19,Slovakia,Fortuna Liga,Tier 1
FC Volendam,2018-09-29,Netherlands,Eerste Divisie,Tier 3
FC Inter,2016-05-26,Italy,Serie A,Tier 1
SC Feyenoord,1981-06-30,Netherlands,Eredivisie,Tier 1
Gooiland,1971-06-30,Netherlands,Eerste Divisie,Tier 2
RCH,1967-11-17,England,Second Division,Tier 2
Heracles Almelo,2016-01-04,Netherlands,Eredivisie,Tier 1
Vitesse,2015-06-30,Netherlands,Eredivisie,Tier 1
SC Veendam,2000-06-30,Netherlands,Eerste Divisie,Tier 3
Heracles,1968-06-30,Netherlands,Eredivisie,Tier 1
NEC,1982-06-30,Netherlands,Eerste Divisie,Tier 3
Malmö U21,2021-12-30,Sweden,Allsvenskan,Tier 2
Wilhelmina '08,1979-06-30,Netherlands,Eredivisie,Tier 1
VVV,1966-07-01,Netherlands,Eredivisie,Tier 1
FC VVV,1969-12-14,Netherlands,Eerste Divisie,Tier 2
Go Ahead Eagles,2017-03-25,Netherlands,Eredivisie,Tier 1
Go Ahead Eagles,2016-02-21,Netherlands,Eredivisie,Tier 1
Everton,2019-06-30,England,Premier League,Tier 1
VfL Bochum,2016-06-30,Germany,2. Bundesliga,Tier 2
Iceland,1953-08-20,"Icelandic football team was part of FIFA but not affiliated with UEFA, therefore it doesn't belong to any European league.",,
Bulgaria,1940-10-20,Bulgaria,Bulgarian A PFG,Tier 4
ADO Den Haag,2020-11-04,Netherlands,Eredivisie,Tier 1
Lazio U19,2016-06-30,Italy,Serie C,Tier 2
SV Bolnes,2017-06-30,Netherlands,Eerste Divisie,Tier 3
Kozakken Boys,2023-06-30,Netherlands,Eredivisie,Tier 1
TEC,2022-06-30,Netherlands,Eredivisie,Tier 1
Dordrecht U21,2019-01-17,Netherlands,Eerste Divisie,Tier 2
De Zwerver,1984-06-30,Belgium,Belgian First Division,Tier 1
FC Emmen,2009-10-19,Netherlands,Eerste Divisie,Tier 2
Be Quick,1997-06-30,Netherlands,Eredivisie,Tier 1
VV Gieten,1978-06-30,Netherlands,Eerste Divisie,Tier 2
AGOVV,2012-06-14,Netherlands,Eredivisie,Tier 1
Netherlands U17,2015-06-30,Netherlands,UEFA European Under-17 Championship,Tier 2
NAC Breda U19,2015-01-11,Netherlands,Eredivisie Juniors,Tier 2
Twente FC,2010-10-12,Netherlands,Eredivisie,Tier 2
Lommel SK,1996-06-30,Belgium,Second Division,Tier 2
Ajax,1999-06-30,Netherlands,Eredivisie,Tier 1
FC Abcoude,1992-06-30,Netherlands,Eerste Divisie,Tier 3
Noordwijk,2002-01-31,Netherlands,Eerste Divisie,Tier 3
Spakenburg,2021-11-08,Netherlands,Hoofdklasse (Saturday),Tier 4
RKHVV Huissen,2002-06-30,Netherlands,Eerste Divisie,Tier 3
EDO,1998-06-30,Spain,La Liga,Tier 1
FC Utrecht,2018-08-10,Netherlands,Eredivisie,Tier 2
FC Emmen,2007-12-31,Netherlands,Eerste Divisie,Tier 2
PSV U17,2018-06-30,Netherlands,Eredivisie U17,Tier 1
Netherlands U15,2010-06-30,Netherlands,Eredivisie Juniores,Tier 4
SC Veendam,1989-06-30,Netherlands,Eerste Divisie,Tier 2
Zeist,1960-06-30,Netherlands,Eerste Divisie,Tier 3
CSV Apeldoorn,2018-02-15,Netherlands,Eerste Klasse,Tier 3
Apeldoornse B.,2014-06-30,Netherlands,Eerste Klasse,Tier 3
SV VELO,2023-06-30,Germany,Bundesliga,Tier 1
